title,capabilities,status,specTitle,linesChanged
run0 -- Landing Suite 1 || Test 1 || never,['Low Pri'],1,Landing,2
run0 -- Landing Suite 1 || Test 2 || never,['Low Pri'],1,Landing,0
run0 -- Landing Suite 1 || Test 3 || never,['Low Pri'],1,Landing,2
run0 -- Landing Suite 1 || Test 4 || never,['Low Pri'],1,Landing,0
run0 -- Landing Suite 1 || Test 5 || never,['Low Pri'],1,Landing,0
run0 -- Landing Suite 1 || Test 1 || never,['Low Pri'],1,Landing,2
run0 -- Landing Suite 1 || Test 2 || never,['Low Pri'],1,Landing,0
run0 -- Landing Suite 1 || Test 3 || never,['Low Pri'],1,Landing,5
run0 -- Landing Suite 1 || Test 4 || lowest,['Med Pri'],1,Landing,5
run0 -- Landing Suite 1 || Test 5 || never,['Low Pri'],1,Landing,0
run0 -- Landing Suite 1 || Test 1 || never,['Low Pri'],1,Landing,0
run0 -- Landing Suite 1 || Test 2 || never,['Low Pri'],1,Landing,0
run0 -- Landing Suite 1 || Test 3 || never,['Low Pri'],1,Landing,0
run0 -- Landing Suite 1 || Test 4 || never,['Low Pri'],1,Landing,5
run0 -- Landing Suite 1 || Test 5 || never,['Low Pri'],1,Landing,0
run0 -- Landing Suite 1 || Test 1 || never,['Low Pri'],1,Landing,0
run0 -- Landing Suite 1 || Test 2 || never,['Low Pri'],1,Landing,0
run0 -- Landing Suite 1 || Test 3 || never,['Low Pri'],1,Landing,0
run0 -- Landing Suite 1 || Test 4 || lowest,['Med Pri'],1,Landing,0
run0 -- Landing Suite 1 || Test 5 || never,['Low Pri'],1,Landing,0
run0 -- Form Suite 1 || Test 1 || never,['Low Pri'],1,Form,0
run0 -- Form Suite 1 || Test 2 || never,['Low Pri'],1,Form,0
run0 -- Form Suite 1 || Test 3 || never,['Low Pri'],1,Form,0
run0 -- Form Suite 1 || Test 4 || never,['Low Pri'],1,Form,0
run0 -- Form Suite 1 || Test 5 || never,['Low Pri'],1,Form,0
run0 -- Form Suite 1 || Test 1 || lowest,['High Pri'],1,Form,25
run0 -- Form Suite 1 || Test 2 || lowest,['High Pri'],1,Form,100
run0 -- Form Suite 1 || Test 3 || lowest,['High Pri'],1,Form,50
run0 -- Form Suite 1 || Test 4 || lowest,['High Pri'],1,Form,75
run0 -- Form Suite 1 || Test 5 || lowest,['High Pri'],1,Form,25
run0 -- Form Suite 1 || Test 1 || never,['Low Pri'],1,Form,0
run0 -- Form Suite 1 || Test 2 || never,['Low Pri'],1,Form,5
run0 -- Form Suite 1 || Test 3 || never,['Low Pri'],1,Form,0
run0 -- Form Suite 1 || Test 4 || never,['Low Pri'],1,Form,0
run0 -- Form Suite 1 || Test 5 || never,['Low Pri'],1,Form,0
run0 -- Form Suite 1 || Test 1 || lowest,['High Pri'],1,Form,25
run0 -- Form Suite 1 || Test 2 || lowest,['High Pri'],1,Form,25
run0 -- Form Suite 1 || Test 3 || lowest,['High Pri'],1,Form,25
run0 -- Form Suite 1 || Test 4 || lowest,['High Pri'],1,Form,25
run0 -- Form Suite 1 || Test 5 || lowest,['High Pri'],1,Form,25
run0 -- Deep1 Suite 1 || Test 1 || never,['Low Pri'],1,Deep1,0
run0 -- Deep1 Suite 1 || Test 2 || never,['Low Pri'],1,Deep1,0
run0 -- Deep1 Suite 1 || Test 3 || never,['Low Pri'],1,Deep1,0
run0 -- Deep1 Suite 1 || Test 4 || never,['Low Pri'],1,Deep1,5
run0 -- Deep1 Suite 1 || Test 5 || never,['Low Pri'],1,Deep1,0
run0 -- Deep1 Suite 1 || Test 1 || never,['Low Pri'],1,Deep1,0
run0 -- Deep1 Suite 1 || Test 2 || never,['Low Pri'],1,Deep1,0
run0 -- Deep1 Suite 1 || Test 3 || never,['Low Pri'],1,Deep1,0
run0 -- Deep1 Suite 1 || Test 4 || never,['Low Pri'],1,Deep1,0
run0 -- Deep1 Suite 1 || Test 5 || low5,['Med Pri'],1,Deep1,0
run0 -- Deep1 Suite 1 || Test 1 || never,['Low Pri'],1,Deep1,5
run0 -- Deep1 Suite 1 || Test 2 || never,['Low Pri'],1,Deep1,2
run0 -- Deep1 Suite 1 || Test 3 || never,['Low Pri'],1,Deep1,0
run0 -- Deep1 Suite 1 || Test 4 || never,['Low Pri'],1,Deep1,2
run0 -- Deep1 Suite 1 || Test 5 || never,['Low Pri'],1,Deep1,0
run0 -- Deep1 Suite 1 || Test 1 || never,['Low Pri'],1,Deep1,0
run0 -- Deep1 Suite 1 || Test 2 || never,['Low Pri'],1,Deep1,0
run0 -- Deep1 Suite 1 || Test 3 || never,['Low Pri'],1,Deep1,2
run0 -- Deep1 Suite 1 || Test 4 || never,['Low Pri'],1,Deep1,0
run0 -- Deep1 Suite 1 || Test 5 || low5,['Med Pri'],1,Deep1,0
run0 -- Deep1 Suite 1 || Suite 1 || Test 1 || never,['Low Pri'],1,Deep1,0
run0 -- Deep1 Suite 1 || Suite 1 || Test 2 || never,['Low Pri'],1,Deep1,0
run0 -- Deep1 Suite 1 || Suite 1 || Test 3 || low5,['Med Pri'],1,Deep1,0
run0 -- Deep1 Suite 1 || Suite 1 || Test 4 || never,['Low Pri'],1,Deep1,0
run0 -- Deep1 Suite 1 || Suite 1 || Test 5 || never,['Low Pri'],1,Deep1,0
run0 -- Deep1 Suite 1 || Suite 1 || Suite 1 || Test 1 || never,['Low Pri'],1,Deep1,0
run0 -- Deep1 Suite 1 || Suite 1 || Suite 1 || Test 2 || never,['Low Pri'],1,Deep1,0
run0 -- Deep1 Suite 1 || Suite 1 || Suite 1 || Test 3 || never,['Low Pri'],1,Deep1,0
run0 -- Deep1 Suite 1 || Suite 1 || Suite 1 || Test 4 || never,['Low Pri'],1,Deep1,0
run0 -- Deep1 Suite 1 || Suite 1 || Suite 1 || Test 5 || never,['Low Pri'],1,Deep1,0
run0 -- Deep1 Suite 1 || Suite 1 || Suite 2 || Test 1 || never,['Low Pri'],1,Deep1,2
run0 -- Deep1 Suite 1 || Suite 1 || Suite 2 || Test 2 || never,['Low Pri'],1,Deep1,0
run0 -- Deep1 Suite 1 || Suite 1 || Suite 2 || Test 3 || never,['Low Pri'],1,Deep1,0
run0 -- Deep1 Suite 1 || Suite 1 || Suite 2 || Test 4 || never,['Low Pri'],1,Deep1,0
run0 -- Deep1 Suite 1 || Suite 1 || Suite 2 || Test 5 || never,['Low Pri'],1,Deep1,0
run0 -- Deep1 Suite 1 || Suite 1 || Suite 3 || Test 1 || never,['Low Pri'],1,Deep1,2
run0 -- Deep1 Suite 1 || Suite 1 || Suite 3 || Test 2 || never,['Low Pri'],1,Deep1,0
run0 -- Deep1 Suite 1 || Suite 1 || Suite 3 || Test 3 || low5,['Low Pri'],1,Deep1,0
run0 -- Deep1 Suite 1 || Suite 1 || Suite 3 || Test 4 || never,['Low Pri'],1,Deep1,0
run0 -- Deep1 Suite 1 || Suite 1 || Suite 3 || Test 5 || never,['Low Pri'],1,Deep1,0
run1 -- Landing Suite 1 || Test 1 || never,['Low Pri'],1,Landing,0
run1 -- Landing Suite 1 || Test 2 || never,['Low Pri'],1,Landing,2
